OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,latitude,longitude
45042,,,5168,BARWON HEADS ROAD/WARALILY BVD,INT,,,,,,,,OPERATIONAL,,,,,-38.2366569988309,144.377875000086
45043,,,2015,MELBOURNE NR HOBART (KNOX CITY),POS,,,,,,,,OPERATIONAL,,,,,-37.8692499992282,145.24197400045
45044,,,6273,MITCHELL/QUEEN,INT,,,,,,,,OPERATIONAL,,,,,-36.7613119990048,144.280338999791
45045,,,520,MOOROODUC/SAGES,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.1956659988826,145.133708999782
45046,,,3629,CHURCHILL NR BRAYBROOK COMMUNITY CENTRE,POS,,,,,,,,OPERATIONAL,,,,,-37.7861339994886,144.853383999994
45047,,,3170,STH GIPPS'D HWY (HIGHST) NR CHILDERS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.1115369990355,145.283073000461
45048,,,3171,STH GIPPS'D HWY (HIGH) NR LYALL,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-38.1092949988792,145.283487000277
45049,,,550,EASTBOURNE RD/VILLAGE GLEN DR,INT,,,,,,,,OPERATIONAL,,,,,-38.3672059988917,144.879111000335
45050,,,3486,WILLIAMSTOWN/SHOPPING CENTRE ENT,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,-37.8169509990932,144.882678999933
45051,,,516,SEAFORD/WELLS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,-38.1089339992953,145.136270000339
45052,,,3259,MURRAY/NORTHLAND SHOP EAST ACCESS RD,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,-37.7406289991995,145.027710999581
45053,,,3612,PASCOE VALE/TAGGERTY CRES STH,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,-37.6624669989102,144.922434000295
45054,,,3487,WILLIAMSTOWN NR THOMAS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.8234489990964,144.88143700001
45055,,,4160,ST GEORGES NR KEMP,POS,,,,,,,,OPERATIONAL,,,,,-37.761825999483,144.99294299952
45056,,,395,HUTTON/CHAPEL,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0127869991054,145.159187000263
45057,,,495,HUTTON/GREEN/PERRY,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0114969990627,145.171278999637
45058,,,6258,CALDER HWY NR CAMP,POS,,,,,,,,OPERATIONAL,,,,,-36.7962409988957,144.244077000061
45059,,,2855,GLADSTONE PARK NR BELMONT,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.6886059992944,144.883619000413
45060,,,6234,CALDER HWY NR VERDON ST,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-36.5754119995012,143.868051999848
45061,,,3443,CENTRE NR GILBERT,POS,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,-37.9176579990206,145.032066000268
45062,,,5047,WESTERN BEACH NR GINN,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.138647998806,144.355793000298
45063,,,965,STH GIPPSLAND HWY/WATERVIEW,INT,,,,,,,,OPERATIONAL,,,,,-38.0209239994225,145.239141999989
45064,,,827,FERNTREE GULLY/WINDERMERE,INT,,,,,,,,OPERATIONAL,,,,,-37.8884679993682,145.262922000192
45065,,,2839,CAMBERWELL NR EVANS,POS,,,,,,,,OPERATIONAL,,,,,-37.830684998994,145.05596399946
45066,,,513,BEACONSFIELD-BERWICK/B'FIELD-EMERALD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0441309987973,145.36674800018
45067,,,514,CRANBOURNE-FRANKSTON/UNION/PINDARA,INT,,,,,,,,OPERATIONAL,,,,,-38.1507119994157,145.195116999946
45068,,,805,GEORGE/CHURCH,INT,,,,,,,,OPERATIONAL,,,,,-37.7794169994554,145.139219999631
45069,,,396,NARRE WARREN NTH/MARAMBA,INT,,,,,,,,OPERATIONAL,,,,,-38.0079839994751,145.310423999998
45070,,,7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,-37.6984429994081,147.382081000173
45071,,,301,PLYMOUTH/YARRA,INT,,,,,,,,OPERATIONAL,,,,,-37.7835699990111,145.274055000521
45072,,,4489,WESTGATE FWY/POWER,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,-37.8267579991945,144.965826000198
45073,,,820,MONBULK/CLEGG,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.7900099991759,145.38789599956
45074,,,2465,JOHNSTON O/H LANE W CLARKE GANTRY 15,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8007199991971,145.001941999598
45075,,,2466,JOHNSTON O/H LANE E CLARKE GANTRY 16,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8007649994855,145.002421999878
45076,,,2444,QUEENS O'HEAD S KINGSWAY GANTRY 01,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8367509988501,144.973321000002
45077,,,2456,JOHNSTON O/H LANE W HARMSWORTH GANTRY 6,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.7996229989992,144.990760000434
45078,,,2457,JOHNSTON O/H LANE W SYDNEY GANTRY 7,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.7997659993966,144.992196999853
45079,,,2458,JOHNSTON O/H LANE E HODDLE GANTRY 8,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.7998739993667,144.993276000283
45080,,,2459,JOHNSTON O/H LANE W PARK GANTRY 9,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8000589995544,144.995174999575
45081,,,2460,JOHNSTON O/H LANE E PARK GANTRY 10,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8000969987591,144.995572999667
45082,,,2461,JOHNSTON O/H LANE E RICH GANTRY 11,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8002579991798,144.997220999626
45083,,,2462,JOHNSTON O/H LANE E HUNTER GANTRY 12,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8003899991488,144.998574000555
45084,,,2463,JOHNSTON O/H LANE W TRENERRY GANTRY 13,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8005039994219,144.99972900032
45085,,,302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT,,,,,,,,OPERATIONAL,,,,,-38.1492249989657,145.19665000046
45086,,,3281,HUNTINGDALE NR ESTELLE,POS,,,,,,,,OPERATIONAL,,,,,-37.8927359988551,145.106998999861
45087,,,2518,SUNSHINE/ROBERTS,INT,,,,,,,,OPERATIONAL,,,,,-37.8006239992124,144.87166899974
45088,,,2791,KEILOR NR COOPER,POS,,,,,,,,OPERATIONAL,,,,,-37.7401709991382,144.899491999764
45089,,,109,SWANSEA/HULL,INT,,,,,,,,OPERATIONAL,,,,,-37.7764509992103,145.363422999852
45090,,,1558,WGF 130m West of Williamstown Rd O/B,OH LANE,,,,,,,,OPERATIONAL,,,,,-37.8253639987433,144.883789999931
45091,,,2486,CHADSTONE SHOPPING CENTRE POS AT ENT 1,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.8874399989738,145.078689999589
45092,,,963,CHELTENHAM/PARKMORE SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,-37.9941409989511,145.172622999674
45093,,,5657,PHE/BAILEY,INT,,,,,,,,OPERATIONAL,DIDO,,,,-37.8260319994361,147.632011000132
45094,,,1100,MAROONDAH HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,-37.817105998875,145.217350000459
45095,,,1101,MAROONDAH HWY/HILLCREST/CARPARK,INT,,,,,,,,OPERATIONAL,,,,,-37.8173719994581,145.215096000291
45096,,,4224,SWAN/YARRA/AMRAD,INT,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.8265079995115,145.020154000205
45097,,,5268,SAYERS/MORRIS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8505319988131,144.706347999545
45098,,,403,NARRE WARREN NTH/MAGID/RYELANDS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0138859993955,145.309269999673
45099,,,4434,FOOTSCRAY/WATERFRONT WAY,INT,,,,,,,,OPERATIONAL,,,,,-37.8105229989652,144.939097000188
45100,,,4435,FOOTSCRAY/WESTERN LINK STH-BND OFF RAMP,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8095089995267,144.935965999442
45101,,,336,BARKLY/RAILWAY/RING,INT,,,,,,,,OPERATIONAL,,,,,-38.2203669994999,145.040741999867
45102,,,3079,UPPER HEIDELBERG NR IVANHOE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,-37.7669839991912,145.044641000218
45103,,,2799,AMIS BTN VISTA & BUCKLEY,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.749348999316,144.860221000324
45104,,,3138,CANTERBURY/SURREY,INT,,,,,,,,OPERATIONAL,,,,,-37.8279879993734,145.115199000173
45105,,,5301,PAKINGTON/NICHOLAS,INT,,,,,,,,OPERATIONAL,,,,,-38.1563179987431,144.345342999833
45106,,,241,THOMPSON NR GLADESVILLE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0685989990398,145.143340999773
45107,,,3639,OLD DANDENONG/BOURKE,INT,,,,,,,,OPERATIONAL,,,,,-37.9397829987986,145.090829000103
45108,,,3405,DYNON/DOCK LINK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.801761999138,144.917100999566
45109,,,478,VIRGINIA NR STEPHENSONS,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.877967999107,145.128625000161
45110,,,2647,BOUNDARY/PLUMMER/SPENCER,INT,,,,,,,,OPERATIONAL,,,,,-37.8155289989836,144.810367999459
45111,,,3760,MELBOURNE NR WILKINS,POS,,,,,,,,OPERATIONAL,"DIDO,PUFFIN,WCHAIR",,,,-37.8459529993942,144.885490000541
45112,,,6682,GREY BTN FRANKLIN & WRIGHT,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.1934309992651,146.539677999451
45113,,,6683,FRANKLIN NR POST OFFICE PLACE,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.1954359987153,146.538092999549
45114,,,6684,SEYMOUR BTN FRANKLIN & CHURCH,FLASH PX,,,,,,,,OPERATIONAL,,,,,-38.1961089990202,146.536679999469
45115,,,5670,NICHOLSON BTN RAYMOND & LOCHIEL,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.7093989991822,148.453753000251
45116,,,3567,MURRUMBEENA/KANGAROO,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8971249994797,145.065109999787
45117,,,304,FRANKSTON-DANDENONG/ABBOTTS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,-38.0316599992706,145.211947999784
45118,,,3507,KOROROIT CREEK NR ADELINE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,-37.8571349993867,144.881869999658
45119,,,401,NARRE WARREN NTH/ERNST WANKE,INT,,,,,,,,OPERATIONAL,"Bluetooth,SAFECAM,SRLC",,,,-37.9967019993713,145.312828000383
45120,,,6408,WESTERN HWY/WILLIAMS/DUFF,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,,-36.7260869994053,142.204979000191
45121,,,2670,FURLONG NR CAMPERDOWN,POS,,,,,,,,OPERATIONAL,,,,,-37.7616999988395,144.823464000008
45122,,,2671,FURLONG NR FORD,POS,,,,,,,,OPERATIONAL,PELICAN,,,,-37.7623539990797,144.828619999468
45123,,,2672,MCKECHNIE BTN MARSDEN & ENA,FLASH PX,,,,,,,,OPERATIONAL,,,,,-37.7454849993811,144.799820000471
